,CTRL_01112018,Ctrl_02072022,IBS.001,IBS.002,IBS.003,IBS.004,IBS.005,IBS.007,IBS.008,IBS.010,IBS.011,IBS.012,IBS.013,IBS.014,IBS.015,IBS.016,IBS.017,IBS.018,IBS.019,IBS.020,IBS.021,IBS.022,IBS.023,IBS.028,IBS.029,IBS.030,IBS.031,IBS.034,IBS.036,IBS.037,IBS.038,IBS.039,IBS.040_02262018,IBS.041,IBS.042,IBS.045,IBS.046,IBS.048,IBS.049,IBS.052,IBS.054,IBS.057,IBS.058,IBS.060,IBS.061,IBS.062,IBS.063,IBS.065,IBS.066,IBS.068,IBS.070,IBS.071,IBS.072,IBS.073,IBS.075,IBS.076,IBS.077,IBS.078,IBS.079,IBS.080
Blautia_sp_N6H1_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00630999936900006,0,0,0.0229299862420083,0,0,0,0.174389877927085,0,0,0,0,0.0261899895240042,0,0,0,0.000940000658000461,0,0,0,0,0.266690080007024,0,0.0773000154600031,0,0,0,0.01523,0,0,0,0,0,0
Blautia_wexlerae,0.114559977088005,0,0.00250000025000003,1.38944944422022,0.0699900069990007,0.00301999969800003,0.350759894772032,0.00882999823400035,0.00104,0.00646,0.14104,0.484360048436005,0.0200899939730018,0.139039930480035,0.0313599905920028,0.121400012140001,0.239989976001002,0.50851989829602,0.106520021304004,0.0735700073570007,0.0801399919860008,0.538469676918194,0.34647,0.101650010165001,0.177089929164028,1.49835940065624,0.0947599905240009,0.00197,0.00098000009800001,0.553969667618199,1.44249014424901,0.0118200023640005,0.0613599815920055,0.0860099397930421,0.75776984844603,0.219129978087002,0.0330699966930003,0.101529949235025,0,0.0143699928150036,0.00321999903400029,0.0944100094410009,0.00500000350000245,0.502569949743005,0.840150168030034,0.0694399652800174,0.0636599809020057,0.88443026532908,0.740440074044007,3.42242068448414,0.0126100025220005,0.0169199983080002,0.10356,11.56507,0.644909935509006,0.0139999972000006,0.00531000106200021,0.142950014295001,0.0309600061920012,0.772450154490031
Ruminococcus_gnavus,0,0,1.27869012786901,0,0.0293800029380003,0.0171299982870002,0.365659890302033,0.149799970040006,0,1.99725,1.58961,0.204750020475002,0.0162899951130015,0,0,0.537320053732005,0.97202990279701,0.140979971804006,0.00290000058000012,0.175490017549002,0,0.0401599759040145,0.07697,0,1.52764938894024,0.468119812752075,0.0293699970630003,0.44417,0,3.75356774785935,0.141560014156001,0.0115700023140005,0.0188899943330017,0.410889712377201,0.00307999938400012,0.00230999976900002,0.0307099969290003,0.163329918335041,0.398159840736064,0.0175699912150044,0.11525996542201,0.00821000082100008,0.419500293650206,0,0.156390031278006,0.0297499851250074,2.29628931111321,0.0388300116490035,0.000320000032000003,0.410600082120016,0.000830000166000033,0,0,4.41965,0,0.0989899802020039,0,0,0,1.07239021447804
Ruminococcus_torques,0.944229811154038,0,0.444240044424004,10.4089858364057,1.17865011786501,0.631529936847006,3.17119904864029,0.417569916486017,0.46529,0.07062,0.27677,1.18360011836001,1.82352945294116,3.1951384024308,0.158499952450014,0.0427700042770004,9.7291590270841,22.5219954956009,0.615380123076025,0.0329000032900003,0.200679979932002,0.0848199491080305,0,0.788640078864008,0,1.03936958425217,6.27754937224506,0.00096,0.0257600025760003,4.61089723346166,0,0.75552015110403,0.341129897661031,4.12945710938002,0.609729878054024,0.525199947480005,0.121719987828001,0,0.863609654556138,0.332039833980083,0.00169999949000015,1.02937010293701,2.46182172327521,0.00303999969600003,0.958060191612038,0.266609866695067,6.6643480006956,0.0362500108750033,1.58673015867302,0,0.0628000125600025,0.0557799944220006,0.87091,0,0.228349977165002,0,0.119030023806005,0.651050065105007,0.595950119190024,0
Butyrivibrio_crossotus,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179679910160045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butyrivibrio_sp_CAG_318,0,0,0,0,0,0,0,0,0,0.01824,0,0,0,0.456509771745114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coprococcus_catus,0,0,0,0.00506999797200081,0.0130400013040001,0.0616899938310006,0.00142999957100013,0,0.00018,0.0086,0.04342,0,0.0301999909400027,0.228909885545057,0.0850899744730077,0,0,0,0.0386800077360015,0,0.0939399906060009,0.114979931012041,0,0.0298700029870003,0.00651999739200104,0.12229995108002,0.000109999989000001,0,0,0,0,0.00517000103400021,0,0.00178999874700088,0,0.0678399932160007,0.000709999929000007,0,0,0.00099999950000025,0,0.00210000021000002,0,0,0,0,0,0,0.0255300025530003,0.112420022484005,0,0.0619399938060006,0.0034,0.01628,0.0216499978350002,0,0.025670005134001,0.234550023455002,0.0119200023840005,0
Coprococcus_comes,0,0,0.0308400030840003,0,4.02700040270004,0.172249982775002,1.1448196565541,0.0475299904940019,1.30346,0,0.39293,1.05520010552001,0.365729890281033,1.27899936050032,0.348849895345031,0,0.222529977747002,0,0.50005010001002,0,0.396049960395004,0,0,1.30606013060601,0,2.30191907923237,0.555029944497005,0.18798,0.0878600087860009,0,0,0.210560042112008,0,2.42293830394319,0.25281994943601,0,0.410759958924004,0,0,0.351419824290088,0,0.226500022650002,0,0,0.608150121630024,0.153799923100038,0.961629711511087,0,1.33955013395501,0,0.0578700115740023,0.327269967273003,0.38617,0,0.165029983497002,0,0.0772600154520031,0.184480018448002,0.181950036390007,0
Coprococcus_eutactus,0,0,0,0,0,0,1.51845954446214,0,0,0.06432,0,0,1.0868196739541,0,0,0,0,0,0.925010185002037,0,0,0,0,2.80859028085903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247999975200002,1.50769,0.00827,3.01339969866003,0,0,10.2588910258891,0.0314500062900013,0.00347000069400014
Dorea_formicigenerans,0,0,0.0548100054810005,0,0.0098000009800001,0.778949922105008,0.473049858085043,0.0824399835120033,0.07106,0.0178,2.28117,0.269910026991003,0.310179906946028,0.595509702245149,0.241889927433022,0.201800020180002,0.231079976892002,0,0.146300029260006,0.0336000033600003,0.0401799959820004,0.448409730954161,0.05793,0.0510200051020005,0,0.361639855344058,0.193009980699002,0.01452,0.0723600072360007,0.697559581464251,0,0.160150032030006,0,1.76777876255487,0.0378299924340015,0.0950799904920009,0.115019988498001,0,0,0.0412199793900103,0,0.150650015065002,0.136790095753067,0,0.107390021478004,0.067999966000017,0,0,0.211650021165002,2.28009045601809,0.00937000187400037,0.0535499946450005,0.1306,0,0.138569986143001,0.0221899955620009,0.0204600040920008,0.216760021676002,0.143820028764006,0
